model,method,hyperparams,acc,last acc,prompt acc,config
qwen-2-0.5b,lora,r=32,38.589840788476124,4.01819560272934,36.315390447308566,"[{'peft_type': 'lora', 'enable_grad_ckpt': True, 'batch': 32, 'grad_acc': 1, 'num_workers': 0, 'warmup': 100, 'weight_decay': 0.0, 'epoch': 2.0, 'lr': 0.0001, 'lr_scheduler_type': 'linear', 'model_name': './models/qwen-2-0.5b', 'ckpt': None, 'dataset': 'meta_math', 'dataset_analysis': False, 'dataset_ratio': 1.0, 'local_rank': -1, 'ds_config': None, 'output_folder': 'results_tira', 'load_bit': 16, 'r_ab': 16, 'lora_r': 32, 'lora_alpha': 32, 'lora_dropout': 0.0, 'target_modules': 'q_proj,k_proj,v_proj,up_proj,down_proj', 'eval_strategy': 'steps', 'eval_steps': 100.0, 'max_new_tokens': None, 'beam_size': None, 'virtual_tokens': 8, 'compute_rank': False, 'compute_norm': False, 'load_order': -1, 'init_ab': 'kaiming,zero', 'train_ab': 'yy', 'seed': 36, 'rand_R': False, 'exp_name': '', 'decoding': 'default', 'save_total_limit': 5, 'early_stop_patience': 0, 'resume': False, 'tira_M': 16, 'tira_K': 8, 'tira_alpha': None, 'tira_q_M': None, 'tira_q_K': None, 'tira_k_M': None, 'tira_k_K': None, 'tira_v_M': None, 'tira_v_K': None, 'tira_o_M': None, 'tira_o_K': None, 'tira_up_M': None, 'tira_up_K': None, 'tira_down_M': None, 'tira_down_K': None}, {'peft_type': 'LORA', 'base_model_name_or_path': './models/qwen-2-0.5b', 'task_type': 'CAUSAL_LM', 'inference_mode': False, 'r': 32, 'target_modules': ['q_proj', 'k_proj', 'v_proj', 'up_proj', 'down_proj'], 'lora_alpha': 32, 'lora_dropout': 0.0, 'fan_in_fan_out': False, 'bias': 'none', 'modules_to_save': None, 'init_lora_weights': True}]"
qwen-2-0.5b,tira,M=2-K=32,39.19636087945413,4.548900682335103,36.770280515542076,"[{'peft_type': 'tira', 'enable_grad_ckpt': True, 'batch': 32, 'grad_acc': 1, 'num_workers': 0, 'warmup': 100, 'weight_decay': 0.0, 'epoch': 2.0, 'lr': 0.0001, 'lr_scheduler_type': 'linear', 'model_name': './models/qwen-2-0.5b', 'ckpt': None, 'dataset': 'meta_math', 'dataset_analysis': False, 'dataset_ratio': 1.0, 'local_rank': -1, 'ds_config': None, 'output_folder': 'results_tira', 'load_bit': 16, 'r_ab': 16, 'lora_r': 16, 'lora_alpha': 32, 'lora_dropout': 0.05, 'target_modules': 'q_proj,k_proj,v_proj,up_proj,down_proj', 'eval_strategy': 'steps', 'eval_steps': 100.0, 'max_new_tokens': None, 'beam_size': None, 'virtual_tokens': 8, 'compute_rank': False, 'compute_norm': False, 'load_order': -1, 'init_ab': 'kaiming,zero', 'train_ab': 'yy', 'seed': 36, 'rand_R': False, 'exp_name': '', 'decoding': 'default', 'save_total_limit': 5, 'early_stop_patience': 0, 'resume': False, 'tira_M': 2, 'tira_K': 32, 'tira_alpha': None, 'tira_q_M': None, 'tira_q_K': None, 'tira_k_M': None, 'tira_k_K': None, 'tira_v_M': None, 'tira_v_K': None, 'tira_o_M': None, 'tira_o_K': None, 'tira_up_M': None, 'tira_up_K': None, 'tira_down_M': None, 'tira_down_K': None}, {'peft_type': 'TIRA', 'base_model_name_or_path': './models/qwen-2-0.5b', 'task_type': 'CAUSAL_LM', 'inference_mode': False, 'tira_M': 2, 'tira_K': 32, 'tira_alpha': None, 'tira_q_M': None, 'tira_q_K': None, 'tira_k_M': None, 'tira_k_K': None, 'tira_v_M': None, 'tira_v_K': None, 'tira_o_M': None, 'tira_o_K': None, 'tira_up_M': None, 'tira_up_K': None, 'tira_down_M': None, 'tira_down_K': None, 'target_modules': ['q_proj', 'k_proj', 'v_proj', 'up_proj', 'down_proj'], 'bias': 'none', 'modules_to_save': None}]"
qwen-2-0.5b,tira,M=4-K=32,38.81728582259287,4.01819560272934,36.69446550416983,"[{'peft_type': 'tira', 'enable_grad_ckpt': True, 'batch': 32, 'grad_acc': 1, 'num_workers': 0, 'warmup': 100, 'weight_decay': 0.0, 'epoch': 2.0, 'lr': 0.0001, 'lr_scheduler_type': 'linear', 'model_name': './models/qwen-2-0.5b', 'ckpt': None, 'dataset': 'meta_math', 'dataset_analysis': False, 'dataset_ratio': 1.0, 'local_rank': -1, 'ds_config': None, 'output_folder': 'results_tira', 'load_bit': 16, 'r_ab': 16, 'lora_r': 16, 'lora_alpha': 32, 'lora_dropout': 0.05, 'target_modules': 'q_proj,k_proj,v_proj,up_proj,down_proj', 'eval_strategy': 'steps', 'eval_steps': 100.0, 'max_new_tokens': None, 'beam_size': None, 'virtual_tokens': 8, 'compute_rank': False, 'compute_norm': False, 'load_order': -1, 'init_ab': 'kaiming,zero', 'train_ab': 'yy', 'seed': 36, 'rand_R': False, 'exp_name': '', 'decoding': 'default', 'save_total_limit': 5, 'early_stop_patience': 0, 'resume': False, 'tira_M': 4, 'tira_K': 32, 'tira_alpha': None, 'tira_q_M': None, 'tira_q_K': None, 'tira_k_M': None, 'tira_k_K': None, 'tira_v_M': None, 'tira_v_K': None, 'tira_o_M': None, 'tira_o_K': None, 'tira_up_M': None, 'tira_up_K': None, 'tira_down_M': None, 'tira_down_K': None}, {'peft_type': 'TIRA', 'base_model_name_or_path': './models/qwen-2-0.5b', 'task_type': 'CAUSAL_LM', 'inference_mode': False, 'tira_M': 4, 'tira_K': 32, 'tira_alpha': None, 'tira_q_M': None, 'tira_q_K': None, 'tira_k_M': None, 'tira_k_K': None, 'tira_v_M': None, 'tira_v_K': None, 'tira_o_M': None, 'tira_o_K': None, 'tira_up_M': None, 'tira_up_K': None, 'tira_down_M': None, 'tira_down_K': None, 'target_modules': ['q_proj', 'k_proj', 'v_proj', 'up_proj', 'down_proj'], 'bias': 'none', 'modules_to_save': None}]"
qwen-2-0.5b,tira,M=8-K=32,36.54283548142532,2.8809704321455647,35.329795299469296,"[{'peft_type': 'tira', 'enable_grad_ckpt': True, 'batch': 32, 'grad_acc': 1, 'num_workers': 0, 'warmup': 100, 'weight_decay': 0.0, 'epoch': 2.0, 'lr': 0.0001, 'lr_scheduler_type': 'linear', 'model_name': './models/qwen-2-0.5b', 'ckpt': None, 'dataset': 'meta_math', 'dataset_analysis': False, 'dataset_ratio': 1.0, 'local_rank': -1, 'ds_config': None, 'output_folder': 'results_tira', 'load_bit': 16, 'r_ab': 16, 'lora_r': 16, 'lora_alpha': 32, 'lora_dropout': 0.05, 'target_modules': 'q_proj,k_proj,v_proj,up_proj,down_proj', 'eval_strategy': 'steps', 'eval_steps': 100.0, 'max_new_tokens': None, 'beam_size': None, 'virtual_tokens': 8, 'compute_rank': False, 'compute_norm': False, 'load_order': -1, 'init_ab': 'kaiming,zero', 'train_ab': 'yy', 'seed': 36, 'rand_R': False, 'exp_name': '', 'decoding': 'default', 'save_total_limit': 5, 'early_stop_patience': 0, 'resume': False, 'tira_M': 8, 'tira_K': 32, 'tira_alpha': None, 'tira_q_M': None, 'tira_q_K': None, 'tira_k_M': None, 'tira_k_K': None, 'tira_v_M': None, 'tira_v_K': None, 'tira_o_M': None, 'tira_o_K': None, 'tira_up_M': None, 'tira_up_K': None, 'tira_down_M': None, 'tira_down_K': None}, {'peft_type': 'TIRA', 'base_model_name_or_path': './models/qwen-2-0.5b', 'task_type': 'CAUSAL_LM', 'inference_mode': False, 'tira_M': 8, 'tira_K': 32, 'tira_alpha': None, 'tira_q_M': None, 'tira_q_K': None, 'tira_k_M': None, 'tira_k_K': None, 'tira_v_M': None, 'tira_v_K': None, 'tira_o_M': None, 'tira_o_K': None, 'tira_up_M': None, 'tira_up_K': None, 'tira_down_M': None, 'tira_down_K': None, 'target_modules': ['q_proj', 'k_proj', 'v_proj', 'up_proj', 'down_proj'], 'bias': 'none', 'modules_to_save': None}]"
qwen-2-1.5b,lora,r=32,68.08188021228203,67.47536012130402,66.64139499620924,"[{'peft_type': 'lora', 'enable_grad_ckpt': True, 'batch': 32, 'grad_acc': 1, 'num_workers': 0, 'warmup': 100, 'weight_decay': 0.0, 'epoch': 2.0, 'lr': 7e-05, 'lr_scheduler_type': 'linear', 'model_name': './models/qwen-2-1.5b', 'ckpt': None, 'dataset': 'meta_math', 'dataset_analysis': False, 'dataset_ratio': 1.0, 'local_rank': -1, 'ds_config': None, 'output_folder': 'results_tira', 'load_bit': 16, 'r_ab': 16, 'lora_r': 32, 'lora_alpha': 32, 'lora_dropout': 0.0, 'target_modules': 'q_proj,k_proj,v_proj,up_proj,down_proj', 'eval_strategy': 'steps', 'eval_steps': 100.0, 'max_new_tokens': None, 'beam_size': None, 'virtual_tokens': 8, 'compute_rank': False, 'compute_norm': False, 'load_order': -1, 'init_ab': 'kaiming,zero', 'train_ab': 'yy', 'seed': 36, 'rand_R': False, 'exp_name': '', 'decoding': 'default', 'save_total_limit': 5, 'early_stop_patience': 0, 'resume': False, 'tira_M': 16, 'tira_K': 8, 'tira_alpha': None, 'tira_q_M': None, 'tira_q_K': None, 'tira_k_M': None, 'tira_k_K': None, 'tira_v_M': None, 'tira_v_K': None, 'tira_o_M': None, 'tira_o_K': None, 'tira_up_M': None, 'tira_up_K': None, 'tira_down_M': None, 'tira_down_K': None}, {'peft_type': 'LORA', 'base_model_name_or_path': './models/qwen-2-1.5b', 'task_type': 'CAUSAL_LM', 'inference_mode': False, 'r': 32, 'target_modules': ['q_proj', 'k_proj', 'v_proj', 'up_proj', 'down_proj'], 'lora_alpha': 32, 'lora_dropout': 0.0, 'fan_in_fan_out': False, 'bias': 'none', 'modules_to_save': None, 'init_lora_weights': True}]"
qwen-2-1.5b,tira,M=4-K=32,68.38514025777104,67.77862016679302,67.09628506444277,"[{'peft_type': 'tira', 'enable_grad_ckpt': True, 'batch': 32, 'grad_acc': 1, 'num_workers': 0, 'warmup': 100, 'weight_decay': 0.0, 'epoch': 2.0, 'lr': 7e-05, 'lr_scheduler_type': 'linear', 'model_name': './models/qwen-2-1.5b', 'ckpt': None, 'dataset': 'meta_math', 'dataset_analysis': False, 'dataset_ratio': 1.0, 'local_rank': -1, 'ds_config': None, 'output_folder': 'results_tira', 'load_bit': 16, 'r_ab': 16, 'lora_r': 16, 'lora_alpha': 32, 'lora_dropout': 0.05, 'target_modules': 'q_proj,k_proj,v_proj,up_proj,down_proj', 'eval_strategy': 'steps', 'eval_steps': 100.0, 'max_new_tokens': None, 'beam_size': None, 'virtual_tokens': 8, 'compute_rank': False, 'compute_norm': False, 'load_order': -1, 'init_ab': 'kaiming,zero', 'train_ab': 'yy', 'seed': 36, 'rand_R': False, 'exp_name': '', 'decoding': 'default', 'save_total_limit': 5, 'early_stop_patience': 0, 'resume': False, 'tira_M': 4, 'tira_K': 32, 'tira_alpha': None, 'tira_q_M': None, 'tira_q_K': None, 'tira_k_M': None, 'tira_k_K': None, 'tira_v_M': None, 'tira_v_K': None, 'tira_o_M': None, 'tira_o_K': None, 'tira_up_M': None, 'tira_up_K': None, 'tira_down_M': None, 'tira_down_K': None}, {'peft_type': 'TIRA', 'base_model_name_or_path': './models/qwen-2-1.5b', 'task_type': 'CAUSAL_LM', 'inference_mode': False, 'tira_M': 4, 'tira_K': 32, 'tira_alpha': None, 'tira_q_M': None, 'tira_q_K': None, 'tira_k_M': None, 'tira_k_K': None, 'tira_v_M': None, 'tira_v_K': None, 'tira_o_M': None, 'tira_o_K': None, 'tira_up_M': None, 'tira_up_K': None, 'tira_down_M': None, 'tira_down_K': None, 'target_modules': ['q_proj', 'k_proj', 'v_proj', 'up_proj', 'down_proj'], 'bias': 'none', 'modules_to_save': None}]"
qwen-2-1.5b,tira,M=8-K=32,68.84003032600455,68.30932524639879,67.32373009855952,"[{'peft_type': 'tira', 'enable_grad_ckpt': True, 'batch': 32, 'grad_acc': 1, 'num_workers': 0, 'warmup': 100, 'weight_decay': 0.0, 'epoch': 2.0, 'lr': 7e-05, 'lr_scheduler_type': 'linear', 'model_name': './models/qwen-2-1.5b', 'ckpt': None, 'dataset': 'meta_math', 'dataset_analysis': False, 'dataset_ratio': 1.0, 'local_rank': -1, 'ds_config': None, 'output_folder': 'results_tira', 'load_bit': 16, 'r_ab': 16, 'lora_r': 16, 'lora_alpha': 32, 'lora_dropout': 0.05, 'target_modules': 'q_proj,k_proj,v_proj,up_proj,down_proj', 'eval_strategy': 'steps', 'eval_steps': 100.0, 'max_new_tokens': None, 'beam_size': None, 'virtual_tokens': 8, 'compute_rank': False, 'compute_norm': False, 'load_order': -1, 'init_ab': 'kaiming,zero', 'train_ab': 'yy', 'seed': 36, 'rand_R': False, 'exp_name': '', 'decoding': 'default', 'save_total_limit': 5, 'early_stop_patience': 0, 'resume': False, 'tira_M': 8, 'tira_K': 32, 'tira_alpha': None, 'tira_q_M': None, 'tira_q_K': None, 'tira_k_M': None, 'tira_k_K': None, 'tira_v_M': None, 'tira_v_K': None, 'tira_o_M': None, 'tira_o_K': None, 'tira_up_M': None, 'tira_up_K': None, 'tira_down_M': None, 'tira_down_K': None}, {'peft_type': 'TIRA', 'base_model_name_or_path': './models/qwen-2-1.5b', 'task_type': 'CAUSAL_LM', 'inference_mode': False, 'tira_M': 8, 'tira_K': 32, 'tira_alpha': None, 'tira_q_M': None, 'tira_q_K': None, 'tira_k_M': None, 'tira_k_K': None, 'tira_v_M': None, 'tira_v_K': None, 'tira_o_M': None, 'tira_o_K': None, 'tira_up_M': None, 'tira_up_K': None, 'tira_down_M': None, 'tira_down_K': None, 'target_modules': ['q_proj', 'k_proj', 'v_proj', 'up_proj', 'down_proj'], 'bias': 'none', 'modules_to_save': None}]"
qwen-2-1.5b,tira,M=16-K=32,68.00606520090979,67.39954510993176,66.64139499620924,"[{'peft_type': 'tira', 'enable_grad_ckpt': True, 'batch': 32, 'grad_acc': 1, 'num_workers': 0, 'warmup': 100, 'weight_decay': 0.0, 'epoch': 2.0, 'lr': 7e-05, 'lr_scheduler_type': 'linear', 'model_name': './models/qwen-2-1.5b', 'ckpt': None, 'dataset': 'meta_math', 'dataset_analysis': False, 'dataset_ratio': 1.0, 'local_rank': -1, 'ds_config': None, 'output_folder': 'results_tira', 'load_bit': 16, 'r_ab': 16, 'lora_r': 16, 'lora_alpha': 32, 'lora_dropout': 0.05, 'target_modules': 'q_proj,k_proj,v_proj,up_proj,down_proj', 'eval_strategy': 'steps', 'eval_steps': 100.0, 'max_new_tokens': None, 'beam_size': None, 'virtual_tokens': 8, 'compute_rank': False, 'compute_norm': False, 'load_order': -1, 'init_ab': 'kaiming,zero', 'train_ab': 'yy', 'seed': 36, 'rand_R': False, 'exp_name': '', 'decoding': 'default', 'save_total_limit': 5, 'early_stop_patience': 0, 'resume': False, 'tira_M': 16, 'tira_K': 32, 'tira_alpha': None, 'tira_q_M': None, 'tira_q_K': None, 'tira_k_M': None, 'tira_k_K': None, 'tira_v_M': None, 'tira_v_K': None, 'tira_o_M': None, 'tira_o_K': None, 'tira_up_M': None, 'tira_up_K': None, 'tira_down_M': None, 'tira_down_K': None}, {'peft_type': 'TIRA', 'base_model_name_or_path': './models/qwen-2-1.5b', 'task_type': 'CAUSAL_LM', 'inference_mode': False, 'tira_M': 16, 'tira_K': 32, 'tira_alpha': None, 'tira_q_M': None, 'tira_q_K': None, 'tira_k_M': None, 'tira_k_K': None, 'tira_v_M': None, 'tira_v_K': None, 'tira_o_M': None, 'tira_o_K': None, 'tira_up_M': None, 'tira_up_K': None, 'tira_down_M': None, 'tira_down_K': None, 'target_modules': ['q_proj', 'k_proj', 'v_proj', 'up_proj', 'down_proj'], 'bias': 'none', 'modules_to_save': None}]"
qwen-2.5-3b,lora,r=32,74.29871114480667,73.61637604245641,72.32752084912812,"[{'peft_type': 'lora', 'enable_grad_ckpt': True, 'batch': 32, 'grad_acc': 1, 'num_workers': 0, 'warmup': 100, 'weight_decay': 0.0, 'epoch': 2.0, 'lr': 5e-05, 'lr_scheduler_type': 'linear', 'model_name': './models/qwen-2.5-3b', 'ckpt': None, 'dataset': 'meta_math', 'dataset_analysis': False, 'dataset_ratio': 1.0, 'local_rank': -1, 'ds_config': None, 'output_folder': 'results_tira', 'load_bit': 16, 'r_ab': 16, 'lora_r': 32, 'lora_alpha': 32, 'lora_dropout': 0.0, 'target_modules': 'q_proj,k_proj,v_proj,up_proj,down_proj', 'eval_strategy': 'steps', 'eval_steps': 100.0, 'max_new_tokens': None, 'beam_size': None, 'virtual_tokens': 8, 'compute_rank': False, 'compute_norm': False, 'load_order': -1, 'init_ab': 'kaiming,zero', 'train_ab': 'yy', 'seed': 36, 'rand_R': False, 'exp_name': '', 'decoding': 'default', 'save_total_limit': 5, 'early_stop_patience': 0, 'resume': False, 'tira_M': 16, 'tira_K': 8, 'tira_alpha': None, 'tira_q_M': None, 'tira_q_K': None, 'tira_k_M': None, 'tira_k_K': None, 'tira_v_M': None, 'tira_v_K': None, 'tira_o_M': None, 'tira_o_K': None, 'tira_up_M': None, 'tira_up_K': None, 'tira_down_M': None, 'tira_down_K': None}, {'peft_type': 'LORA', 'base_model_name_or_path': './models/qwen-2.5-3b', 'task_type': 'CAUSAL_LM', 'inference_mode': False, 'r': 32, 'target_modules': ['q_proj', 'k_proj', 'v_proj', 'up_proj', 'down_proj'], 'lora_alpha': 32, 'lora_dropout': 0.0, 'fan_in_fan_out': False, 'bias': 'none', 'modules_to_save': None, 'init_lora_weights': True}]"
qwen-2.5-3b,tira,M=8-K=32,74.52615617892343,73.91963608794542,72.32752084912812,"[{'peft_type': 'tira', 'enable_grad_ckpt': True, 'batch': 32, 'grad_acc': 1, 'num_workers': 0, 'warmup': 100, 'weight_decay': 0.0, 'epoch': 2.0, 'lr': 5e-05, 'lr_scheduler_type': 'linear', 'model_name': './models/qwen-2.5-3b', 'ckpt': None, 'dataset': 'meta_math', 'dataset_analysis': False, 'dataset_ratio': 1.0, 'local_rank': -1, 'ds_config': None, 'output_folder': 'results_tira', 'load_bit': 16, 'r_ab': 16, 'lora_r': 16, 'lora_alpha': 32, 'lora_dropout': 0.05, 'target_modules': 'q_proj,k_proj,v_proj,up_proj,down_proj', 'eval_strategy': 'steps', 'eval_steps': 100.0, 'max_new_tokens': None, 'beam_size': None, 'virtual_tokens': 8, 'compute_rank': False, 'compute_norm': False, 'load_order': -1, 'init_ab': 'kaiming,zero', 'train_ab': 'yy', 'seed': 36, 'rand_R': False, 'exp_name': '', 'decoding': 'default', 'save_total_limit': 5, 'early_stop_patience': 0, 'resume': False, 'tira_M': 8, 'tira_K': 32, 'tira_alpha': None, 'tira_q_M': None, 'tira_q_K': None, 'tira_k_M': None, 'tira_k_K': None, 'tira_v_M': None, 'tira_v_K': None, 'tira_o_M': None, 'tira_o_K': None, 'tira_up_M': None, 'tira_up_K': None, 'tira_down_M': None, 'tira_down_K': None}, {'peft_type': 'TIRA', 'base_model_name_or_path': './models/qwen-2.5-3b', 'task_type': 'CAUSAL_LM', 'inference_mode': False, 'tira_M': 8, 'tira_K': 32, 'tira_alpha': None, 'tira_q_M': None, 'tira_q_K': None, 'tira_k_M': None, 'tira_k_K': None, 'tira_v_M': None, 'tira_v_K': None, 'tira_o_M': None, 'tira_o_K': None, 'tira_up_M': None, 'tira_up_K': None, 'tira_down_M': None, 'tira_down_K': None, 'target_modules': ['q_proj', 'k_proj', 'v_proj', 'up_proj', 'down_proj'], 'bias': 'none', 'modules_to_save': None}]"
qwen-2.5-3b,tira,M=16-K=32,75.13267626990144,74.60197119029569,72.40333586050039,"[{'peft_type': 'tira', 'enable_grad_ckpt': True, 'batch': 32, 'grad_acc': 1, 'num_workers': 0, 'warmup': 100, 'weight_decay': 0.0, 'epoch': 2.0, 'lr': 5e-05, 'lr_scheduler_type': 'linear', 'model_name': './models/qwen-2.5-3b', 'ckpt': './results_tira/qwen-2.5-3b-meta_math-tira-lr=5.00e-05-M=16-K=32-seed=36--2026-05-23-21-13-39/checkpoint-23200', 'dataset': 'meta_math', 'dataset_analysis': False, 'dataset_ratio': 1.0, 'local_rank': -1, 'ds_config': None, 'output_folder': 'results_tira', 'load_bit': 16, 'r_ab': 16, 'lora_r': 16, 'lora_alpha': 32, 'lora_dropout': 0.05, 'target_modules': 'q_proj,k_proj,v_proj,up_proj,down_proj', 'eval_strategy': 'steps', 'eval_steps': 100.0, 'max_new_tokens': None, 'beam_size': None, 'virtual_tokens': 8, 'compute_rank': False, 'compute_norm': False, 'load_order': -1, 'init_ab': 'kaiming,zero', 'train_ab': 'yy', 'seed': 36, 'rand_R': False, 'exp_name': '', 'decoding': 'default', 'save_total_limit': 5, 'early_stop_patience': 0, 'resume': True, 'tira_M': 16, 'tira_K': 32, 'tira_alpha': None, 'tira_q_M': None, 'tira_q_K': None, 'tira_k_M': None, 'tira_k_K': None, 'tira_v_M': None, 'tira_v_K': None, 'tira_o_M': None, 'tira_o_K': None, 'tira_up_M': None, 'tira_up_K': None, 'tira_down_M': None, 'tira_down_K': None}, {'peft_type': 'TIRA', 'base_model_name_or_path': './models/qwen-2.5-3b', 'task_type': 'CAUSAL_LM', 'inference_mode': False, 'tira_M': 16, 'tira_K': 32, 'tira_alpha': None, 'tira_q_M': None, 'tira_q_K': None, 'tira_k_M': None, 'tira_k_K': None, 'tira_v_M': None, 'tira_v_K': None, 'tira_o_M': None, 'tira_o_K': None, 'tira_up_M': None, 'tira_up_K': None, 'tira_down_M': None, 'tira_down_K': None, 'target_modules': ['q_proj', 'k_proj', 'v_proj', 'up_proj', 'down_proj'], 'bias': 'none', 'modules_to_save': None}]"
qwen-2.5-3b,tira,M=32-K=32,75.43593631539045,74.67778620166793,72.78241091736164,"[{'peft_type': 'tira', 'enable_grad_ckpt': True, 'batch': 32, 'grad_acc': 1, 'num_workers': 0, 'warmup': 100, 'weight_decay': 0.0, 'epoch': 2.0, 'lr': 5e-05, 'lr_scheduler_type': 'linear', 'model_name': './models/qwen-2.5-3b', 'ckpt': None, 'dataset': 'meta_math', 'dataset_analysis': False, 'dataset_ratio': 1.0, 'local_rank': -1, 'ds_config': None, 'output_folder': 'results_tira', 'load_bit': 16, 'r_ab': 16, 'lora_r': 16, 'lora_alpha': 32, 'lora_dropout': 0.05, 'target_modules': 'q_proj,k_proj,v_proj,up_proj,down_proj', 'eval_strategy': 'steps', 'eval_steps': 100.0, 'max_new_tokens': None, 'beam_size': None, 'virtual_tokens': 8, 'compute_rank': False, 'compute_norm': False, 'load_order': -1, 'init_ab': 'kaiming,zero', 'train_ab': 'yy', 'seed': 36, 'rand_R': False, 'exp_name': '', 'decoding': 'default', 'save_total_limit': 5, 'early_stop_patience': 0, 'resume': False, 'tira_M': 32, 'tira_K': 32, 'tira_alpha': None, 'tira_q_M': None, 'tira_q_K': None, 'tira_k_M': None, 'tira_k_K': None, 'tira_v_M': None, 'tira_v_K': None, 'tira_o_M': None, 'tira_o_K': None, 'tira_up_M': None, 'tira_up_K': None, 'tira_down_M': None, 'tira_down_K': None}, {'peft_type': 'TIRA', 'base_model_name_or_path': './models/qwen-2.5-3b', 'task_type': 'CAUSAL_LM', 'inference_mode': False, 'tira_M': 32, 'tira_K': 32, 'tira_alpha': None, 'tira_q_M': None, 'tira_q_K': None, 'tira_k_M': None, 'tira_k_K': None, 'tira_v_M': None, 'tira_v_K': None, 'tira_o_M': None, 'tira_o_K': None, 'tira_up_M': None, 'tira_up_K': None, 'tira_down_M': None, 'tira_down_K': None, 'target_modules': ['q_proj', 'k_proj', 'v_proj', 'up_proj', 'down_proj'], 'bias': 'none', 'modules_to_save': None}]"
